id_aluno,aluno,turma,idade,disciplina,nota,frequencia,situacao
1,Aluno 001,9º A,15,Geografia,5.8,81.6,Em recuperação
2,Aluno 002,9º B,13,História,6.3,92.5,Aprovado
3,Aluno 003,8º A,13,Ciências,8.7,89.5,Aprovado
4,Aluno 004,9º A,14,Língua Portuguesa,7.9,100.0,Aprovado
5,Aluno 005,9º A,16,Língua Portuguesa,7.2,94.9,Aprovado
6,Aluno 006,9º B,13,Ciências,7.0,93.3,Aprovado
7,Aluno 007,8º A,14,Ciências,7.5,88.1,Aprovado
8,Aluno 008,8º A,15,Geografia,5.6,81.9,Em recuperação
9,Aluno 009,9º A,13,Geografia,7.2,86.6,Aprovado
10,Aluno 010,8º B,14,Língua Portuguesa,8.7,91.3,Aprovado
11,Aluno 011,9º A,14,História,6.0,75.9,Aprovado
12,Aluno 012,9º A,14,Língua Portuguesa,7.1,96.7,Aprovado
13,Aluno 013,9º A,14,História,6.7,100.0,Aprovado
14,Aluno 014,9º A,14,História,5.1,74.4,Em recuperação
15,Aluno 015,9º B,13,Geografia,6.4,78.2,Aprovado
16,Aluno 016,8º A,15,Matemática,5.1,89.6,Em recuperação
17,Aluno 017,9º B,14,Matemática,7.2,83.9,Aprovado
18,Aluno 018,9º B,13,Ciências,7.0,89.8,Aprovado
19,Aluno 019,9º B,13,Geografia,6.4,87.5,Aprovado
20,Aluno 020,9º A,14,História,5.2,80.8,Em recuperação
21,Aluno 021,8º B,14,Matemática,6.9,97.0,Aprovado
22,Aluno 022,8º A,13,História,7.6,91.3,Aprovado
23,Aluno 023,8º B,14,Matemática,6.1,84.1,Aprovado
24,Aluno 024,9º B,13,Matemática,7.0,98.5,Aprovado
25,Aluno 025,9º B,14,Matemática,6.8,84.4,Aprovado
26,Aluno 026,8º B,13,Geografia,6.4,79.3,Aprovado
27,Aluno 027,8º B,14,Língua Portuguesa,5.4,89.3,Em recuperação
28,Aluno 028,8º B,14,História,7.5,90.5,Aprovado
29,Aluno 029,9º B,15,Geografia,9.7,91.7,Aprovado
30,Aluno 030,9º B,13,Geografia,7.6,92.9,Aprovado
31,Aluno 031,8º A,14,Geografia,5.1,91.6,Em recuperação
32,Aluno 032,8º A,13,Geografia,7.1,91.3,Aprovado
33,Aluno 033,9º B,15,Geografia,4.2,84.0,Em recuperação
34,Aluno 034,8º B,15,Ciências,9.7,83.2,Aprovado
35,Aluno 035,8º B,13,História,9.5,93.2,Aprovado
36,Aluno 036,8º A,14,Geografia,6.0,89.7,Aprovado
37,Aluno 037,9º B,15,História,4.7,93.7,Em recuperação
38,Aluno 038,8º A,14,Ciências,4.6,76.0,Em recuperação
39,Aluno 039,8º A,14,Ciências,6.1,84.5,Aprovado
40,Aluno 040,9º A,13,História,5.8,100.0,Em recuperação
41,Aluno 041,9º A,13,Matemática,6.9,91.9,Aprovado
42,Aluno 042,9º A,15,Língua Portuguesa,6.6,90.1,Aprovado
43,Aluno 043,8º B,15,Matemática,7.2,93.0,Aprovado
44,Aluno 044,9º B,14,Matemática,8.0,100.0,Aprovado
45,Aluno 045,9º B,14,Matemática,6.6,100.0,Aprovado
46,Aluno 046,9º B,14,Geografia,4.7,76.9,Em recuperação
